มหาวิทยาลัย,Keyword,ค่าใช้จ่าย,ประเภทหลักสูตร
จุฬาลงกรณ์มหาวิทยาลัย,วิศวกรรมคอมพิวเตอร์,25500,ภาษาไทย ปกติ
จุฬาลงกรณ์มหาวิทยาลัย,วิศวกรรมคอมพิวเตอร์,25500,ภาษาไทย ปกติ
มหาวิทยาลัยเกษตรศาสตร์ บางเขน,วิศวกรรมคอมพิวเตอร์,29100,ภาษาไทย ปกติ
มหาวิทยาลัยเกษตรศาสตร์ กำแพงแสน,วิศวกรรมคอมพิวเตอร์,19500,ภาษาไทย ปกติ
มหาวิทยาลัยเกษตรศาสตร์ ศรีราชา,วิศวกรรมคอมพิวเตอร์,29100,ภาษาไทย ปกติ
มหาวิทยาลัยเกษตรศาสตร์ เฉลิมพระเกียรติ จ.สกลนคร,วิศวกรรมคอมพิวเตอร์,15000,ภาษาไทย ปกติ
มหาวิทยาลัยขอนแก่น ขอนแก่น,วิศวกรรมคอมพิวเตอร์,20000,ภาษาไทย ปกติ
มหาวิทยาลัยเชียงใหม่ วิทยาเขตหลัก,วิศวกรรมคอมพิวเตอร์,23000,ภาษาไทย ปกติ
มหาวิทยาลัยเชียงใหม่ วิทยาเขตหลัก,วิศวกรรมคอมพิวเตอร์,35000,นานาชาติ
มหาวิทยาลัยธรรมศาสตร์ ศูนย์รังสิต,วิศวกรรมคอมพิวเตอร์,18900,ภาษาไทย ปกติ
มหาวิทยาลัยธรรมศาสตร์ ศูนย์รังสิต,วิศวกรรมคอมพิวเตอร์,101200,นานาชาติ
มหาวิทยาลัยมหิดล ศาลายา,วิศวกรรมคอมพิวเตอร์,30000,ภาษาไทย ปกติ
มหาวิทยาลัยศรีนครินทรวิโรฒ องครักษ์,วิศวกรรมคอมพิวเตอร์,25000,ภาษาไทย ปกติ
มหาวิทยาลัยสงขลานครินทร์ หาดใหญ่,วิศวกรรมคอมพิวเตอร์,18000,ภาษาไทย ปกติ
มหาวิทยาลัยสงขลานครินทร์ หาดใหญ่,วิศวกรรมคอมพิวเตอร์,28000,ภาษาไทย ปกติ
มหาวิทยาลัยสงขลานครินทร์ ภูเก็ต,วิศวกรรมคอมพิวเตอร์,48000,นานาชาติ
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,วิศวกรรมคอมพิวเตอร์,70000,นานาชาติ
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,วิศวกรรมคอมพิวเตอร์,30000,ภาษาไทย ปกติ
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,วิศวกรรมคอมพิวเตอร์,30000,ภาษาไทย ปกติ
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ กรุงเทพฯ,วิศวกรรมคอมพิวเตอร์,25000,ภาษาไทย ปกติ
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าคุณทหารลาดกระบัง ลาดกระบัง,วิศวกรรมคอมพิวเตอร์,25000,ภาษาไทย ปกติ
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง ลาดกระบัง,วิศวกรรมคอมพิวเตอร์,90000,นานาชาติ
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง ลาดกระบัง,วิศวกรรมคอมพิวเตอร์,50000,ภาษาไทย ปกติ
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง ชุมพรเขตอุดมศักดิ์,วิศวกรรมคอมพิวเตอร์,20000,ภาษาไทย ปกติ
มหาวิทยาลัยเทคโนโลยีสุรนารี วิทยาเขตหลัก,วิศวกรรมคอมพิวเตอร์,24637,ภาษาไทย ปกติ
มหาวิทยาลัยเทคโนโลยีสุรนารี วิทยาเขตหลัก,วิศวกรรมคอมพิวเตอร์,24637,ภาษาไทย ปกติ
มหาวิทยาลัยนเรศวร วิทยาเขตหลัก,วิศวกรรมคอมพิวเตอร์,16000,ภาษาไทย ปกติ
มหาวิทยาลัยวลัยลักษณ์,วิศวกรรมคอมพิวเตอร์,32700,ภาษาไทย ปกติ
มหาวิทยาลัยแม่ฟ้าหลวง,วิศวกรรมคอมพิวเตอร์,28000,ภาษาไทย ปกติ
มหาวิทยาลัยนราธิวาสราชนครินทร์,วิศวกรรมคอมพิวเตอร์,14000,ภาษาไทย ปกติ
มหาวิทยาลัยนครพนม,วิศวกรรมคอมพิวเตอร์,14340,ภาษาไทย ปกติ
มหาวิทยาลัยพะเยา,วิศวกรรมคอมพิวเตอร์,21000,ภาษาไทย ปกติ
มหาวิทยาลัยกาฬสินธุ์ วิทยาเขตหลัก,วิศวกรรมคอมพิวเตอร์,10150,ภาษาไทย ปกติ
มหาวิทยาลัยรามคำแหง,วิศวกรรมคอมพิวเตอร์,26000,ภาษาไทย ปกติ
มหาวิทยาลัยรามคำแหง,วิศวกรรมคอมพิวเตอร์,63260,นานาชาติ
